"","bin_arch","sample","sum","bin_arch_name"
"445","_1.1.2_","QL240",1978.094427654,"PSI"
"446","_1.1.2_","QL243",1799.132868456,"PSI"
"447","_1.1.2_","QL315",1407.327390596,"PSI"
"448","_1.1.2_","QL319",1178.120039116,"PSI"
"449","_1.1.2_","QL412",1301.107061862,"PSI"
"450","_1.1.2_","QL454",1145.638681347,"PSI"
"451","_1.1.2_","QL455",1211.790952407,"PSI"
"452","_1.1.2_","RH055",2415.743884355,"PSI"
"453","_1.1.2_","T019",1446.159973077,"PSI"
"454","_1.1.2_","T049",1537.120336896,"PSI"
"455","_1.1.2_","T050",1569.101245393,"PSI"
"456","_1.1.2_","T145",2113.429333798,"PSI"
"457","_1.1.2_","T150",2267.641110021,"PSI"
"458","_1.1.2_","T225",3423.434855417,"PSI"
"459","_1.1.2_","T251",1921.245033356,"PSI"
"460","_1.1.2_","T398",2579.66367815,"PSI"
"461","_1.1.2_","YG018",1410.295534392,"PSI"
"462","_1.1.2_","YG077",2541.66651849,"PSI"
"463","_1.1.2_","KG036",2568.910184391,"PSI"
"464","_1.1.2_","KG050",4671.322427424,"PSI"
"465","_1.1.2_","KG102",1122.441408145,"PSI"
"466","_1.1.2_","KG107",1967.900078669,"PSI"
"467","_1.1.2_","KG117",3175.824801277,"PSI"
"468","_1.1.2_","KG121",1642.122364342,"PSI"
"469","_1.1.2_","QL114",660.578219988,"PSI"
"470","_1.1.2_","QL141",1859.200399623,"PSI"
"471","_1.1.2_","QL145",734.038877686,"PSI"
"472","_1.1.2_","QL227",3179.376922187,"PSI"
"473","_1.1.2_","QL230",4281.463167356,"PSI"
"474","_1.1.2_","QL233",5052.264500723,"PSI"
"475","_1.1.2_","QL309",1546.323584614,"PSI"
"476","_1.1.2_","QL318",1911.462616077,"PSI"
"477","_1.1.2_","QL332",785.349148399,"PSI"
"478","_1.1.2_","QL400",1501.642773091,"PSI"
"479","_1.1.2_","QL402",1454.131710191,"PSI"
"480","_1.1.2_","QL404",568.976237221,"PSI"
"481","_1.1.2_","QL407",1012.161217554,"PSI"
"482","_1.1.2_","QL448",2462.504906616,"PSI"
"483","_1.1.2_","RH007",2523.965708546,"PSI"
"484","_1.1.2_","RH061",1485.223691764,"PSI"
"485","_1.1.2_","RH100",624.91197618,"PSI"
"486","_1.1.2_","T021",2130.566740555,"PSI"
"487","_1.1.2_","T058",3566.801088044,"PSI"
"488","_1.1.2_","T146",1581.16193629,"PSI"
"489","_1.1.2_","T167",1695.498870258,"PSI"
"490","_1.1.2_","T341",5351.344835008,"PSI"
"491","_1.1.2_","YG022",3274.981831771,"PSI"
"492","_1.1.2_","YG030",1012.247088322,"PSI"
"493","_1.1.2_","YG070",3417.594265566,"PSI"
"494","_1.1.2_","YG072",2007.194575853,"PSI"
"495","_1.1.2_","YG187",2802.75913351,"PSI"
"496","_1.1.2_","KG037",2504.407019311,"PSI"
"497","_1.1.2_","KG051",5881.266073094,"PSI"
"498","_1.1.2_","KG103",2557.479662578,"PSI"
"499","_1.1.2_","KG118",4118.93408605,"PSI"
"500","_1.1.2_","KG119",3282.651254797,"PSI"
"501","_1.1.2_","QL107",2074.995139832,"PSI"
