extraction_number,sample_number,species_confirmed
,YG083,euccre
,KG021,euchae
,T168,eucnit
,T330,eucamy
,T375,eucrub
,KG144,eucobl
,QL445,corter
,QL323,eucdis
,QL303,eucmed
,YG122,angcos
,T156,eucnit
,T379,eucrub
,T404,eucten
,KG076,corgum
,T322,eucamy
,QL446,corter
,YG057,euccre
,QL447,corter
,T152,eucnit
,YG074,eucpun
,YG167,corexi
,KG039,corgum
,YG023,euccre
15-43,YG137,eucspa
,T148,eucnit
,YG134,eucspa
,T024,euccoc
,T060,eucdel
,T016,euccoc
,T052,eucdel
,YG016,angcos
,QL324,eucdis
,T396,acalon
,QL382,acacol
,YG106,acafal
,YG091,acafal
,KG013,acasua
,QL049,acacel
,YG159,acafal
,T365,acagen
,YG032,acaimp
,YG142,acafal
,QL263,acahol
,QL373,acashi
,YG144,acafal
,QL125,acafla
,QL219,acajul
,QL217,acajul
,KG068,acasua
,QL057,acacel
,KG001,acauli
,T392,acalon
,QL421,acahem
,KG040,acalon
,QL377,acashi
,QL429,acahem
,T387,acalon
,QL053,acacel
,KG044,acasua
,QL194,acacra
,QL267,acahol
,YG014,podili
,QL218,acajul
,YG012,podili
,QL425,acahem
,YG015,podili
,QL384,acacol
,QL259,acahol
,QL383,acacol
,KG029,acalon
,QL081,acaman
,YG011,acapar
,RH092,acaosw
,YG155,acabin
,YG148,acaimp
,KG088,acalon
,QL121,acafla
,YG102,acabin
,QL129,acafla
,YG034,acaimp
,QL198,acacra
,YG033,acaimp
,YG114,acaimp
,YG087,acabin
