sample,species_confirmed,Latitude,Longitude,leaf_age,biological_rep,site_revised,date
YG063,acapar,-32.78244,150.92318,new,2,NSW_Yengo_N,140524
YG099,acapar,-32.78244,150.92318,old,3,NSW_Yengo_N,140607
YG100,acapar,-32.78244,150.92318,new,3,NSW_Yengo_N,140607
YG101,acapar,-32.78244,150.92318,mid,3,NSW_Yengo_N,140607
T084,acaric,-42.91482,147.24619,old,1,TAS_The_Springs,150303
T088,acaric,-42.91482,147.24619,new,3,TAS_The_Springs,150303
T087,acaric,-42.91482,147.24619,old,2,TAS_The_Springs,150303
T082,acaric,-42.91482,147.24619,new,1,TAS_The_Springs,150303
T090,acaric,-42.91482,147.24619,old,3,TAS_The_Springs,150303
T085,acaric,-42.91482,147.24619,new,2,TAS_The_Springs,150303
T083,acaric,-42.91482,147.24619,mid,1,TAS_The_Springs,150303
T086,acaric,-42.91482,147.24619,mid,2,TAS_The_Springs,150303
T089,acaric,-42.91482,147.24619,mid,3,TAS_The_Springs,150303
QL370,acashi,-18.21837,142.27066,new,1,QLD_Croydon,150822
QL371,acashi,-18.21837,142.27066,mid,1,QLD_Croydon,150822
QL376,acashi,-18.21837,142.27066,old,2,QLD_Croydon,150822
QL379,acashi,-18.21837,142.27066,mid,3,QLD_Croydon,150822
QL375,acashi,-18.21837,142.27066,mid,2,QLD_Croydon,150822
QL374,acashi,-18.21837,142.27066,new,2,QLD_Croydon,150822
QL380,acashi,-18.21837,142.27066,old,3,QLD_Croydon,150822
QL372,acashi,-18.21837,142.27066,old,1,QLD_Croydon,150822
QL378,acashi,-18.21837,142.27066,new,3,QLD_Croydon,150822
QL373,acashi,-18.21837,142.27066,sen,1,QLD_Croydon,150822
QL377,acashi,-18.21837,142.27066,sen,2,QLD_Croydon,150822
QL381,acashi,-18.21837,142.27066,sen,3,QLD_Croydon,150822
KG016,acasua,-33.6933,151.14541,new,1,NSW_Kuringai_top,140603
KG015,acasua,-33.6933,151.14541,mid,1,NSW_Kuringai_top,140603
KG014,acasua,-33.6933,151.14541,old,1,NSW_Kuringai_top,140603
KG013,acasua,-33.6933,151.14541,sen,1,NSW_Kuringai_top,140603
KG047,acasua,-33.6933,151.14541,new,2,NSW_Kuringai_top,140604
KG046,acasua,-33.6933,151.14541,mid,2,NSW_Kuringai_top,140604
KG045,acasua,-33.6933,151.14541,old,2,NSW_Kuringai_top,140604
KG044,acasua,-33.6933,151.14541,sen,2,NSW_Kuringai_top,140604
KG070,acasua,-33.6933,151.14541,mid,3,NSW_Kuringai_top,140611
KG071,acasua,-33.6933,151.14541,new,3,NSW_Kuringai_top,140611
KG069,acasua,-33.6933,151.14541,old,3,NSW_Kuringai_top,140611
KG068,acasua,-33.6933,151.14541,sen,3,NSW_Kuringai_top,140611
T303,acater,-42.12261,148.34306,old,2,TAS_Freycinet,150311
T305,acater,-42.12261,148.34306,mid,3,TAS_Freycinet,150311
T304,acater,-42.12261,148.34306,new,3,TAS_Freycinet,150311
T301,acater,-42.12261,148.34306,new,2,TAS_Freycinet,150311
T306,acater,-42.12261,148.34306,old,3,TAS_Freycinet,150311
T299,acater,-42.12261,148.34306,mid,1,TAS_Freycinet,150311
T300,acater,-42.12261,148.34306,old,1,TAS_Freycinet,150311
T298,acater,-42.12261,148.34306,new,1,TAS_Freycinet,150311
T302,acater,-42.12261,148.34306,mid,2,TAS_Freycinet,150311
KG004,acauli,-33.6933,151.14541,mid,1,NSW_Kuringai_top,140529
KG003,acauli,-33.6933,151.14541,old,1,NSW_Kuringai_top,140529
KG005,acauli,-33.6933,151.14541,new,1,NSW_Kuringai_top,140529
KG001,acauli,-33.6933,151.14541,sen,1,NSW_Kuringai_top,140529
KG008,acauli,-33.6933,151.14541,new,2,NSW_Kuringai_top,140603
KG007,acauli,-33.6933,151.14541,mid,2,NSW_Kuringai_top,140603
KG006,acauli,-33.6933,151.14541,old,2,NSW_Kuringai_top,140603
KG035,acauli,-33.6933,151.14541,new,3,NSW_Kuringai_top,140604
KG034,acauli,-33.6933,151.14541,mid,3,NSW_Kuringai_top,140604
KG033,acauli,-33.6933,151.14541,old,3,NSW_Kuringai_top,140604
T189,agaodo,-43.03746,146.27668,new,3,TAS_Red_Knoll,150307
T190,agaodo,-43.03746,146.27668,mid,3,TAS_Red_Knoll,150307
T185,agaodo,-43.03746,146.27668,new,2,TAS_Red_Knoll,150307
T186,agaodo,-43.03746,146.27668,mid,2,TAS_Red_Knoll,150307
T182,agaodo,-43.03746,146.27668,mid,1,TAS_Red_Knoll,150307
T183,agaodo,-43.03746,146.27668,old,1,TAS_Red_Knoll,150307
