sample,assay_protein_per_area_mg_per_g,assay_protein_per_area_mg_per_m2
KG034,73.29260286,14544.46402
RH018,63.6485358,23602.79556
YG156,122.8846759,21811.96109
QL189,55.42028969,14697.63282
KG031,84.87551114,20297.97783
KG030,79.20500494,15948.76492
RH001,64.16816599,17912.87645
QL419,107.7695384,23505.3751
YG157,141.9328744,23874.48948
T298,96.5213008,13301.48377
YG139,151.3779935,27246.23414
QL055,108.0658834,15716.42843
QL070,126.6398505,16703.57018
QL418,79.12988273,20873.22552
QL122,90.98695941,14803.08683
YG107,163.6056063,19657.76666
YG109,123.2354574,23225.74899
YG090,162.3335814,20090.61768
T083,95.26922539,19897.65729
T086,89.71173409,19859.03414
YG154,184.8270462,19109.48012
QL048,95.12946693,14676.48559
YG101,16.43969607,21933.10514
T348,92.31992567,11595.60675
T385,137.0091042,30033.64989
QL210,71.20365229,12588.67909
QL056,130.3679921,19726.28636
QL374,84.67670716,15444.48539
T136,118.8106119,16521.64397
KG015,91.69156217,20190.71949
T295,66.03575082,18640.2106
YG108,153.8191464,19790.13553
QL195,112.2364794,17015.15844
YG115,93.33982276,20842.52994
RH041,64.83514748,22163.97286
QL047,122.9081808,21544.67507
YG063,15.95089303,26385.58191
T286,118.0905925,22427.86663
QL258,91.77015124,13720.20598
T259,132.8216781,14602.23976
QL197,92.29039832,16754.85109
RH017,80.97805965,29562.293
QL424,72.77748887,18192.40482
T290,64.63271437,13686.93859
QL187,99.57016841,14242.17801
KG006,69.10653827,15740.35076
T302,97.26232963,12251.07261
QL046,137.0927742,14526.07589
YG098,120.2336132,15958.81234
YG088,133.5448187,22722.54897
KG089,92.87995929,20683.6038
T393,89.24770561,14303.93771
QL380,61.73099046,12735.93049
QL080,97.50344604,11638.16012
T143,99.24593909,30724.70267
QL051,98.85942183,13187.40748
QL260,104.7625547,19368.7663
YG116,114.3117187,19286.04936
KG014,193.7419883,58859.80636
T371,26.72769183,6215.959621
T137,101.8600058,21880.88347
T132,79.15022734,23210.95303
T062,141.07719,14354.13514
T260,95.40181356,10198.9071
KG045,35.91412363,9850.007751
QL257,128.5028965,24717.4467
KG003,42.27216702,9750.801931
KG069,56.30016649,15692.98778
T138,37.24005034,8235.16072
QL256,104.5312872,18982.94105
QL427,67.39687406,16462.88484
T139,152.7907947,29321.50893
QL191,88.30000173,16498.47693
KG033,65.84668983,13432.78132
QL372,76.74925034,13802.22586
T135,72.34180466,21456.67511
T344,133.6696555,17123.72168
RH016,102.9503957,36291.81753
QL391,101.9033581,22803.03856
QL128,99.78901593,15112.81927
QL420,96.16593922,21481.62067
QL422,130.8384212,26897.67406
YG093,164.818347,20165.93723
T261,75.45192411,7875.10811
T370,73.37093706,17106.82182
T287,103.8704698,22496.92421
T089,112.4656413,20347.24289
KG023,52.93970522,17968.58436
T367,85.77081689,20467.59511
RH020,51.36244707,20115.63169
QL075,137.0991572,18086.3869
QL426,84.0785238,21335.79209
T140,68.13948831,20032.65497
QL378,74.16128556,14007.17568
QL193,89.32038506,17719.3271
T127,79.42746732,16010.62361
QL423,99.81356929,20953.72333
QL113,40.73880784,7324.077628
QL109,60.23655118,9448.20085
QL117,24.9180891,3621.75042
T289,78.39366108,19367.3653
T293,105.1999208,21462.22841
T297,93.70591741,18107.13888
QL085,17.20511808,4045.522219
QL089,19.12667543,3872.432699
QL093,38.68566488,6852.194736
T265,15.09143119,3874.335585
T269,12.45181991,2721.323117
T273,15.70679354,3432.207287
KG005,65.40295082,13626.90821
RH090,131.2229083,24348.48649
