sample,assay_protein_per_area_mg_per_g,assay_protein_per_area_mg_per_m2,percent_ovalb_of_total_protein
YG203,77.71734017,23580.66697,0.105980404
QL395,118.6307451,30736.75481,0.081897365
QL078,149.8171679,16302.60131,0.153637295
T253,133.0922069,14138.23696,0.177143763
QL392,92.26249597,21138.3271,0.118539555
QL213,73.83342065,11498.52245,0.217647714
T345,81.63437125,9170.097294,0.272296009
YG104,131.0604142,26541.77807,0.094132948
RH019,73.74240995,27070.70391,0.091812391
RH034,87.95005233,24496.60932,0.102089407
YG092,141.1845068,23348.66617,0.107508713
QL120,65.05735413,10849.09765,0.231753497
RH031,151.9587882,44776.2785,0.056206125
T129,106.9353168,29704.16403,0.083857577
RH086,112.7929788,21076.08404,0.119216689
KG007,110.1559657,22592.46298,0.110757985
QL074,144.1697195,20320.76709,0.12324614
T394,126.8782324,27864.70484,0.09006741
T299,94.56933888,18754.57992,0.133252917
RH040,77.65656753,27570.95892,0.090836129
YG097,89.15288607,19345.74577,0.129237793
QL264,112.8539404,22608.8755,0.110855975
QL196,126.8948374,19398.79161,0.129440918
YG153,152.6865277,23438.32554,0.106722617
T366,121.3170612,27326.83028,0.091694183
QL050,156.761464,21249.95313,0.118256874
QL396,126.2255786,27632.83913,0.090194065
YG162,162.017905,23554.07912,0.105594027
T343,198.600495,23903.48501,0.105061015
T292,108.1060671,20233.47146,0.123556981
YG151,168.7784171,23334.31956,0.106708582
QL127,102.6346067,15383.61393,0.162207984
RH013,123.6449975,32666.41974,0.076594501
T130,104.7995243,29339.3259,0.085211211
T363,58.90911188,14254.75898,0.175279516
T288,93.35504549,23030.88143,0.108334183
QL209,102.7389575,20250.66312,0.123012785
QL394,106.8558497,28216.57109,0.088382773
RH037,195.1882426,39315.00487,0.063825944
RH093,74.67591964,18313.52838,0.136243683
T090,106.7341232,21886.74115,0.114615811
T390,153.4962051,34487.15566,0.072300779
T068,174.9681515,19487.52756,0.128346957
T349,143.874582,14400.35658,0.173914966
T061,178.9501329,17642.39421,0.141812465
QL371,86.50671704,16466.1899,0.151375887
YG140,132.6405856,26440.71051,0.094187215
T256,104.3958762,13186.20156,0.189535374
T362,98.01302304,19690.28574,0.126453133
QL393,90.94793867,20769.42786,0.120890637
KG042,154.1028831,27741.99611,0.090765632
QL376,79.34331471,15090.27715,0.16558398
T395,111.7925938,24631.62824,0.100995189
T300,74.05893627,14492.57369,0.172799127
T296,116.6805082,23975.11954,0.104330416
QL188,122.7665429,21796.18132,0.114589591
QL379,86.56933848,15068.28036,0.165337382
YG149,83.36526492,21509.89428,0.116574542
T351,142.2992745,15642.01601,0.159979276
RH095,36.76912604,11786.03931,0.211763203
KG070,68.98903948,15830.90637,0.159377647
T085,118.779737,18971.72266,0.13121398
QL215,72.44792552,12376.96149,0.202156844
QL375,85.42611709,15428.28705,0.161437944
KG032,147.9893662,25213.99032,0.09982939
QL266,96.08919683,16887.06045,0.148410198
QL079,124.4513371,16732.1338,0.149832073
QL124,72.99643857,12450.99291,0.200495456
KG071,92.98987959,21243.98275,0.117435619
T064,200.3576744,14398.25331,0.173438539
KG046,112.6852076,24116.04129,0.103301491
YG152,154.2656349,21636.88411,0.11566704
T063,139.2200641,20701.21371,0.12044871
QL123,93.07679486,12559.73613,0.198659966
KG034,73.29260286,14544.46402,0.171804107
RH018,63.6485358,23602.79556,0.105733705
YG156,122.8846759,21811.96109,0.114548897
QL189,55.42028969,14697.63282,0.17016693
KG031,84.87551114,20297.97783,0.123238
KG030,79.20500494,15948.76492,0.156154532
RH001,64.16816599,17912.87645,0.13930763
QL419,107.7695384,23505.3751,0.105724961
YG157,141.9328744,23874.48948,0.105221962
T298,96.5213008,13301.48377,0.187794986
YG139,151.3779935,27246.23414,0.092297161
QL055,108.0658834,15716.42843,0.159124261
QL070,126.6398505,16703.57018,0.149011135
QL418,79.12988273,20873.22552,0.119429776
QL122,90.98695941,14803.08683,0.169164462
YG107,163.6056063,19657.76666,0.127327678
YG109,123.2354574,23225.74899,0.107961924
YG090,162.3335814,20090.61768,0.124183558
T083,95.26922539,19897.65729,0.125779052
T086,89.71173409,19859.03414,0.126770653
YG154,184.8270462,19109.48012,0.13044435
QL048,95.12946693,14676.48559,0.169614095
YG101,16.43969607,21933.10514,0.113840648
T348,92.31992567,11595.60675,0.215604777
T385,137.0091042,30033.64989,0.083234868
QL210,71.20365229,12588.67909,0.198427117
QL056,130.3679921,19726.28636,0.126665226
QL374,84.67670716,15444.48539,0.161613477
T136,118.8106119,16521.64397,0.150907502
KG015,91.69156217,20190.71949,0.124403043
T295,66.03575082,18640.2106,0.134624796
YG108,153.8191464,19790.13553,0.12614114
QL195,112.2364794,17015.15844,0.146741875
YG115,93.33982276,20842.52994,0.119898876
RH041,64.83514748,22163.97286,0.112887003
QL047,122.9081808,21544.67507,0.115851126
YG063,15.95089303,26385.58191,0.094592365
T286,118.0905925,22427.86663,0.110871631
QL258,91.77015124,13720.20598,0.182985548
T259,132.8216781,14602.23976,0.171203441
QL197,92.29039832,16754.85109,0.149446268
RH017,80.97805965,29562.293,0.084296753
QL424,72.77748887,18192.40482,0.136540384
T290,64.63271437,13686.93859,0.183547555
QL187,99.57016841,14242.17801,0.176359542
KG006,69.10653827,15740.35076,0.158255457
T302,97.26232963,12251.07261,0.204333756
QL046,137.0927742,14526.07589,0.171594182
YG098,120.2336132,15958.81234,0.156303416
YG088,133.5448187,22722.54897,0.109874151
KG089,92.87995929,20683.6038,0.120488542
T393,89.24770561,14303.93771,0.174500698
QL380,61.73099046,12735.93049,0.19617395
QL080,97.50344604,11638.16012,0.214874025
T143,99.24593909,30724.70267,0.081294094
QL051,98.85942183,13187.40748,0.189730104
QL260,104.7625547,19368.7663,0.12914753
YG116,114.3117187,19286.04936,0.129547895
KG014,193.7419883,58859.80636,0.04207355
T371,26.72769183,6215.959621,0.403611689
T137,101.8600058,21880.88347,0.113730425
T132,79.15022734,23210.95303,0.10823276
T062,141.07719,14354.13514,0.174705725
T260,95.40181356,10198.9071,0.244617815
KG045,35.91412363,9850.007751,0.254968655
QL257,128.5028965,24717.4467,0.101665906
KG003,42.27216702,9750.801931,0.254691227
KG069,56.30016649,15692.98778,0.159033396
T138,37.24005034,8235.16072,0.30173907
QL256,104.5312872,18982.94105,0.131749966
QL427,67.39687406,16462.88484,0.152234657
T139,152.7907947,29321.50893,0.084768284
QL191,88.30000173,16498.47693,0.152539272
KG033,65.84668983,13432.78132,0.18505774
QL372,76.74925034,13802.22586,0.181172919
T135,72.34180466,21456.67511,0.116079337
T344,133.6696555,17123.72168,0.146144227
RH016,102.9503957,36291.81753,0.068351358
QL391,101.9033581,22803.03856,0.10987519
QL128,99.78901593,15112.81927,0.165801074
QL420,96.16593922,21481.62067,0.116539438
QL422,130.8384212,26897.67406,0.092410191
YG093,164.818347,20165.93723,0.123817747
T261,75.45192411,7875.10811,0.317675654
T370,73.37093706,17106.82182,0.146478824
T287,103.8704698,22496.92421,0.111163536
T089,112.4656413,20347.24289,0.12228709
KG023,52.93970522,17968.58436,0.139419723
T367,85.77081689,20467.59511,0.122417789
RH020,51.36244707,20115.63169,0.125450757
QL075,137.0991572,18086.3869,0.138384253
QL426,84.0785238,21335.79209,0.117044875
T140,68.13948831,20032.65497,0.125930193
QL378,74.16128556,14007.17568,0.177843816
QL193,89.32038506,17719.3271,0.140751256
T127,79.42746732,16010.62361,0.156079552
QL423,99.81356929,20953.72333,0.119667065
QL113,40.73880784,7324.077628,0.341845327
QL109,60.23655118,9448.20085,0.265405297
QL117,24.9180891,3621.75042,0.691793996
T289,78.39366108,19367.3653,0.129308664
T293,105.1999208,21462.22841,0.116541151
T297,93.70591741,18107.13888,0.138567368
QL085,17.20511808,4045.522219,0.617357576
QL089,19.12667543,3872.432699,0.642931527
