sample_number,species_field,species_confirmed,Latitude,Longitude,leaf_age,biological_rep,site_revised,date
KG091,acalon,acalon,-33.6933,151.14541,new,3,NSW_Kuringai_top,140611
KG089,acalon,acalon,-33.6933,151.14541,old,3,NSW_Kuringai_top,140611
KG088,acalon,acalon,-33.6933,151.14541,sen,3,NSW_Kuringai_top,140611
T385,acalon,acalon,-42.84732,147.43592,mid,1,TAS_Mt_Canopus,150312
T384,acalon,acalon,-42.84732,147.43592,new,1,TAS_Mt_Canopus,150312
T386,acalon,acalon,-42.84732,147.43592,old,1,TAS_Mt_Canopus,150312
T387,acalon,acalon,-42.84732,147.43592,sen,1,TAS_Mt_Canopus,150312
T390,acalon,acalon,-42.84732,147.43592,mid,2,TAS_Mt_Canopus,150312
T389,acalon,acalon,-42.84732,147.43592,new,2,TAS_Mt_Canopus,150312
T391,acalon,acalon,-42.84732,147.43592,old,2,TAS_Mt_Canopus,150312
T392,acalon,acalon,-42.84732,147.43592,sen,2,TAS_Mt_Canopus,150312
T394,acalon,acalon,-42.84732,147.43592,mid,3,TAS_Mt_Canopus,150312
T393,acalon,acalon,-42.84732,147.43592,new,3,TAS_Mt_Canopus,150312
T395,acalon,acalon,-42.84732,147.43592,old,3,TAS_Mt_Canopus,150312
T396,acalon,acalon,-42.84732,147.43592,sen,3,TAS_Mt_Canopus,150312
QL071,acaman,acaman,-17.96665,145.96806,mid,1,QLD_Mt_Mackay,150808
QL070,acaman,acaman,-17.96665,145.96806,new,1,QLD_Mt_Mackay,150808
QL072,acaman,acaman,-17.96665,145.96806,old,1,QLD_Mt_Mackay,150808
QL073,acaman,acaman,-17.96665,145.96806,sen,1,QLD_Mt_Mackay,150808
QL075,acaman,acaman,-17.96665,145.96806,mid,2,QLD_Mt_Mackay,150808
QL074,acaman,acaman,-17.96665,145.96806,new,2,QLD_Mt_Mackay,150808
QL076,acaman,acaman,-17.96665,145.96806,old,2,QLD_Mt_Mackay,150808
QL077,acaman,acaman,-17.96665,145.96806,sen,2,QLD_Mt_Mackay,150808
QL079,acaman,acaman,-17.96665,145.96806,mid,3,QLD_Mt_Mackay,150808
QL078,acaman,acaman,-17.96665,145.96806,new,3,QLD_Mt_Mackay,150808
QL080,acaman,acaman,-17.96665,145.96806,old,3,QLD_Mt_Mackay,150808
QL081,acaman,acaman,-17.96665,145.96806,sen,3,QLD_Mt_Mackay,150808
T128,acamel,acamel,-42.77492,146.39731,mid,1,TAS_Frodshams_Pass,150306
T127,acamel,acamel,-42.77492,146.39731,new,1,TAS_Frodshams_Pass,150306
T129,acamel,acamel,-42.77492,146.39731,old,1,TAS_Frodshams_Pass,150306
T131,acamel,acamel,-42.77492,146.39731,mid,2,TAS_Frodshams_Pass,150306
T130,acamel,acamel,-42.77492,146.39731,new,2,TAS_Frodshams_Pass,150306
T132,acamel,acamel,-42.77492,146.39731,old,2,TAS_Frodshams_Pass,150306
T134,acamel,acamel,-42.77492,146.39731,mid,3,TAS_Frodshams_Pass,150306
T133,acamel,acamel,-42.77492,146.39731,new,3,TAS_Frodshams_Pass,150306
T135,acamel,acamel,-42.77492,146.39731,old,3,TAS_Frodshams_Pass,150306
T287,acamel,acamel,-42.10667,148.33655,mid,1,TAS_Freycinet,150311
T286,acamel,acamel,-42.10667,148.33655,new,1,TAS_Freycinet,150311
T288,acamel,acamel,-42.10667,148.33655,old,1,TAS_Freycinet,150311
T289,acamel,acamel,-42.10667,148.33655,sen,1,TAS_Freycinet,150311
T291,acamel,acamel,-42.10667,148.33655,mid,2,TAS_Freycinet,150311
T290,acamel,acamel,-42.10667,148.33655,new,2,TAS_Freycinet,150311
T292,acamel,acamel,-42.10667,148.33655,old,2,TAS_Freycinet,150311
T293,acamel,acamel,-42.10667,148.33655,sen,2,TAS_Freycinet,150311
T295,acamel,acamel,-42.10667,148.33655,mid,3,TAS_Freycinet,150311
T294,acamel,acamel,-42.10667,148.33655,new,3,TAS_Freycinet,150311
T296,acamel,acamel,-42.10667,148.33655,old,3,TAS_Freycinet,150311
T297,acamel,acamel,-42.10667,148.33655,sen,3,TAS_Freycinet,150311
T137,acamuc,acamuc,-42.75833,146.40609,mid,1,TAS_Frodshams_Pass,150306
T136,acamuc,acamuc,-42.75833,146.40609,new,1,TAS_Frodshams_Pass,150306
T138,acamuc,acamuc,-42.75833,146.40609,old,1,TAS_Frodshams_Pass,150306
T140,acamuc,acamuc,-42.75833,146.40609,mid,2,TAS_Frodshams_Pass,150306
T139,acamuc,acamuc,-42.75833,146.40609,new,2,TAS_Frodshams_Pass,150306
T141,acamuc,acamuc,-42.75833,146.40609,old,2,TAS_Frodshams_Pass,150306
T143,acamuc,acamuc,-42.75833,146.40609,mid,3,TAS_Frodshams_Pass,150306
T142,acamuc,acamuc,-42.75833,146.40609,new,3,TAS_Frodshams_Pass,150306
T144,acamuc,acamuc,-42.75833,146.40609,old,3,TAS_Frodshams_Pass,150306
RH040,acaosw,aca_sp,-32.96407,146.16016,mid,1,NSW_Round_Hill,150405
RH031,acaosw,aca_sp,-32.96407,146.16016,new,1,NSW_Round_Hill,150405
RH041,acaosw,aca_sp,-32.96407,146.16016,old,1,NSW_Round_Hill,150405
RH035,acaosw,aca_sp,-32.96407,146.16016,mid,2,NSW_Round_Hill,150405
RH034,acaosw,aca_sp,-32.96407,146.16016,new,2,NSW_Round_Hill,150405
RH036,acaosw,aca_sp,-32.96407,146.16016,old,2,NSW_Round_Hill,150405
RH038,acaosw,aca_sp,-32.96407,146.16016,mid,3,NSW_Round_Hill,150405
RH037,acaosw,aca_sp,-32.96407,146.16016,new,3,NSW_Round_Hill,150405
RH039,acaosw,aca_sp,-32.96407,146.16016,old,3,NSW_Round_Hill,150405
YG010,acapar,acapar,-32.78244,150.92318,mid,1,NSW_Yengo_N,140419
YG009,acapar,acapar,-32.78244,150.92318,new,1,NSW_Yengo_N,140419
YG011,acapar,acapar,-32.78244,150.92318,old,1,NSW_Yengo_N,140419
YG064,acapar,acapar,-32.78244,150.92318,mid,2,NSW_Yengo_N,140524
